example_idx,gt,status,pred_obj,correct,abs_error,rel_error,latency_sec,num_calls
0,1160.0,OPTIMAL,1160.0,True,0.0,0.0,5.948601722717285,2
1,350.0,OPTIMAL,350.0,True,0.0,0.0,5.524381875991821,2
2,100.0,OPTIMAL,100.0,True,0.0,0.0,4.130990982055664,2
3,7.0,OPTIMAL,7.0,True,0.0,0.0,4.071042776107788,2
4,327.6595744680851,OPTIMAL,327.6595744680851,True,0.0,0.0,4.597918510437012,2
5,215000.0,OPTIMAL,215000.0,True,0.0,0.0,6.041625022888184,2
6,513.0,OPTIMAL,513.0,True,0.0,0.0,4.423923015594482,2
7,236.5,OPTIMAL,224.0,False,12.5,0.052854122621341,3.4581339359283447,2
8,400000.0,OPTIMAL,400000.0,True,0.0,0.0,5.42522120475769,2
9,950.0,OPTIMAL,950.0,True,0.0,0.0,4.154142141342163,2
10,841.0,OPTIMAL,980.0,False,139.0,0.16527942925069528,5.471323728561401,2
11,80.0,OPTIMAL,48.0,False,32.0,0.39999999999499997,4.305055141448975,2
12,37.0,OPTIMAL,37.0,True,0.0,0.0,4.096095323562622,2
13,1.5,OPTIMAL,1.5,True,0.0,0.0,4.092366933822632,2
14,75.00000000000001,OPTIMAL,75.0,True,1.4210854715202004e-14,1.8947806286683364e-16,4.505151987075806,2
15,12860.0,OPTIMAL,11820.0,False,1040.0,0.08087091757386618,4.302274942398071,2
16,1400.0,OPTIMAL,1400.0,True,0.0,0.0,4.502951145172119,2
17,500.0,OPTIMAL,500.0,True,0.0,0.0,4.913403749465942,2
18,60000.0,OPTIMAL,60000.0,True,0.0,0.0,4.096435546875,2
19,750.0,OPTIMAL,750.0,True,0.0,0.0,4.260576009750366,2
20,1060.0,OPTIMAL,1060.0,True,0.0,0.0,3.7847042083740234,2
21,98.0,OPTIMAL,100.34482758620689,False,2.3448275862068897,0.023926812103907784,4.03292179107666,2
22,160.0,OPTIMAL,160.0,True,0.0,0.0,4.407073020935059,2
23,35.0,OPTIMAL,29.0,False,6.0,0.1714285714236735,5.218125581741333,2
24,7.0,OPTIMAL,7.0,True,0.0,0.0,3.814781427383423,2
